question_text,question_type,association,module_order,option1_text,option1_is_correct,option2_text,option2_is_correct,option3_text,option3_is_correct,option4_text,option4_is_correct,option5_text,option5_is_correct
"What does 'malware' mean?","single","final_exam","","A type of computer hardware","FALSE","A term for all male employees in a company","FALSE","Malicious software designed to disrupt, damage, or gain unauthorized access to a computer system","TRUE","A brand of antivirus software","FALSE",,
"An email from your CEO asks you to urgently transfer money to a new supplier. The request is unusual. What should you do first?","single","final_exam","","Transfer the money immediately as requested","FALSE","Verify the request by calling the CEO or speaking to them in person (not by replying to the email)","TRUE","Forward the email to the finance department and assume they will handle it","FALSE","Delete the email","FALSE",,
"What is 'spear phishing'?","single","final_exam","","A general phishing email sent to millions of people","FALSE","A targeted phishing attack that uses personalized information to seem more legitimate","TRUE","A type of fishing sport","FALSE","A technique to block phishing emails","FALSE",,
"Which of the following are good practices for physical security at the office? (Select all that apply)","multiple","final_exam","","Locking your computer screen when you step away","TRUE","Holding the door open for anyone, even if you don't recognize them","FALSE","Wearing your ID badge where it is visible","TRUE","Leaving sensitive documents face up on your desk overnight","FALSE",,
"What is the 'principle of least privilege'?","single","final_exam","","Giving all users administrator rights for convenience","FALSE","Giving users only the minimum levels of access/permissions that they need to perform their job functions","TRUE","The principle that the least experienced person should handle security","FALSE","A rule about not using privileged information for personal gain","FALSE",,
"What should you do if you suspect your work computer has been infected with a virus?","single","final_exam","","Try to delete the suspicious files yourself","FALSE","Unplug the computer from the network and report it to the IT/security department immediately","TRUE","Continue working and hope it goes away","FALSE","Install a new antivirus program","FALSE",,
"What is a 'VPN'?","single","final_exam","","A Very Private Network, used for top-secret government communication","FALSE","A Virtual Private Network, a tool that creates a secure, encrypted connection over a public network","TRUE","A Virus Protection Network, another name for a firewall","FALSE","A type of computer processor","FALSE",,
"Why is it a bad idea to use the same password for multiple websites?","single","final_exam","","It's difficult to remember which password belongs to which site","FALSE","If one site is breached, attackers can use your password to access your other accounts","TRUE","It can slow down your computer","FALSE","Most websites do not allow it","FALSE",,
"Which of these indicates a website is likely secure for entering sensitive information?","single","final_exam","","The website address starts with 'http://'","FALSE","The website has a professional design","FALSE","The website address starts with 'https://' and shows a padlock icon","TRUE","The website is popular and well-known","FALSE",,
"What is 'data encryption'?","single","final_exam","","The process of deleting data permanently","FALSE","The process of converting data into a code to prevent unauthorized access","TRUE","The process of backing up data to the cloud","FALSE","The process of organizing data into tables","FALSE",,
"You receive a text message with a link, claiming you've won a prize. This could be an example of:","single","final_exam","","Smishing (SMS Phishing)","TRUE","Vishing","FALSE","A legitimate contest","FALSE","Spyware","FALSE",,
"When creating a password, which of these is the LEAST secure?","single","final_exam","","A random combination of 15 letters, numbers, and symbols","FALSE","A short, common word like 'password' or '123456'","TRUE","A phrase from a song or book","FALSE","Your old password with one number changed","FALSE",,
